,Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Insider_id,Ticker
0,Campbell Ann Marie,EVP - U.S. Stores & Int'l Ops,2020-11-20,Sale,269.03,120.0,32284.0,5065.0,Nov 23 06:56 PM,1453970,HD
1,Decker Edward P.,President & COO,2020-11-19,Option Exercise,69.65,25595.0,1782692.0,97352.0,Nov 23 06:59 PM,1615935,HD
2,Decker Edward P.,President & COO,2020-11-19,Sale,269.4,25595.0,6895293.0,71757.0,Nov 23 06:59 PM,1615935,HD
3,HOLIFIELD MARK,EVP-Supply Chain & Product Dev,2020-11-18,Option Exercise,130.22,24672.0,3212788.0,59948.0,Nov 20 05:28 PM,1267117,HD
4,McPhail Richard V,EVP & CFO,2020-11-18,Option Exercise,77.14,10641.0,820883.0,34597.0,Nov 20 05:32 PM,1787630,HD
5,Menear Craig A,Chairman & CEO,2020-11-18,Option Exercise,49.79,95274.0,4743692.0,277047.0,Nov 20 05:35 PM,1378581,HD
6,Menear Craig A,Chairman & CEO,2020-11-18,Sale,273.92,95274.0,26097480.0,181773.0,Nov 20 05:35 PM,1378581,HD
7,McPhail Richard V,EVP & CFO,2020-11-18,Sale,272.81,14285.0,3897091.0,20312.0,Nov 20 05:32 PM,1787630,HD
8,HOLIFIELD MARK,EVP-Supply Chain & Product Dev,2020-11-18,Sale,274.27,36672.0,10058029.0,23276.0,Nov 20 05:28 PM,1267117,HD
9,Carey Matt,EVP & CIO,2020-09-10,Option Exercise,73.82,28820.0,2127440.0,81682.0,Sep 14 07:05 PM,1499743,HD
10,Carey Matt,EVP & CIO,2020-09-10,Sale,276.43,50478.0,13953617.0,52862.0,Sep 14 07:05 PM,1499743,HD
11,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2020-08-21,Option Exercise,122.98,41947.0,5158539.0,62883.0,Aug 24 05:29 PM,1534511,HD
12,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",2020-08-21,Sale,279.83,41947.0,11737852.0,20936.0,Aug 24 05:29 PM,1534511,HD
13,Campbell Ann Marie,EVP - U.S. Stores,2020-08-20,Option Exercise,128.24,14360.0,1841550.0,60880.0,Aug 24 05:25 PM,1453970,HD
14,Campbell Ann Marie,EVP - U.S. Stores,2020-08-20,Sale,280.2,14360.0,4023672.0,46520.0,Aug 24 05:25 PM,1453970,HD
15,Lennie William G.,"EVP, Outside Sales and Service",2020-08-19,Option Exercise,120.54,13199.0,1591007.0,49736.0,Aug 21 05:06 PM,1649314,HD
16,Lennie William G.,"EVP, Outside Sales and Service",2020-08-19,Sale,283.22,13199.0,3738221.0,36537.0,Aug 21 05:06 PM,1649314,HD
17,Decker Edward P.,"EVP, Merchandising",2020-05-21,Option Exercise,49.79,36204.0,1802597.0,108673.0,May 22 04:28 PM,1615935,HD
18,Hourigan Timothy A.,EVP - Human Resources,2020-05-21,Option Exercise,49.79,19054.0,948699.0,74644.0,May 22 04:31 PM,1710902,HD
19,Hourigan Timothy A.,EVP - Human Resources,2020-05-21,Sale,239.82,19054.0,4569530.0,55590.0,May 22 04:31 PM,1710902,HD
