TSLA,Tesla, Inc.,0.0526
ACCD,Accolade, Inc.,-0.3191
FNLC,The First Bancorp, Inc.,nan
NVCR,NovoCure Limited,3.5
SCOR,comScore, Inc.,0.0667
IFRX,InflaRx N.V.,-0.2955
OPTT,Ocean Power Technologies, Inc.,nan
SLAB,Silicon Laboratories Inc.,0.1507
AGLE,Aeglea BioTherapeutics, Inc.,-0.275
EXAS,Exact Sciences Corporation,1.5172
FARO,FARO Technologies, Inc.,-0.7778
NMRK,Newmark Group, Inc.,3.4
NEBC,Nebula Caravel Acquisition Corp.,0
NVCN,Neovasc Inc.,-0.1429
FEYE,FireEye, Inc.,0.0909
CVCO,Cavco Industries, Inc.,0.3086
FRSX,Foresight Autonomous Holdings Ltd.,-0.4286
FNKO,Funko, Inc.,-2.55
NMRD,Nemaura Medical Inc.,-0.8
FRTA,Forterra, Inc.,0.05
SDC,SmileDirectClub, Inc.,-0.56
BBQ,BBQ Holdings, Inc.,-1.2381
CMRX,Chimerix, Inc.,0.125
CIIC,CIIG Merger Corp.,0
ATEC,Alphatec Holdings, Inc.,-0.04
BBI,Brickell Biotech, Inc.,-0.8052
FARM,Farmer Bros. Co.,1.7568
KLXE,KLX Energy Services Holdings, Inc.,-2.7692
OLMA,Olema Pharmaceuticals, Inc.,nan
TWST,Twist Bioscience Corporation,0.3333
