SDR,SDR,0
SDT,SDT,0
SCNB,SCNB,0
BCF,136077,0
JRO,Nuveen Floating Rate Income Opportunity Fund,0
CMSC,CMS Energy Corporation 5.875% J,0
CMSD,CMS Energy Corporation 5.875% J,0
CMSA,CMS Energy Corporation 5.6% JRSUB NT 78,0
BBN,BlackRock Taxable Municipal Bond Trust,0
JRS,Nuveen Real Estate Income Fund,0
BBW,Build-A-Bear Workshop, Inc.,-1.1341
JSD,Nuveen Short Duration Credit Opportunities Fund,0
BCH,Banco de Chile,1.5455
BBF,BlackRock Municipal Income Investment Trust,nan
BCC,Boise Cascade Company,2.0706
JRI,Nuveen Real Asset Income and Growth Fund,0
JRN,174589,0
BBY,Best Buy Co., Inc.,0.2047
STOR,STORE Capital Corporation,0.3125
BBK,BlackRock Municipal Bond Trust,nan
BCE,BCE Inc.,-0.1304
BBL,BHP Group,nan
SCS,Steelcase Inc.,-0.8545
BBT,BBT,0
BBU,Brookfield Business Partners L.P.,-0.8356
SCU,Sculptor Capital Management, Inc.,-1.321
SCX,The L.S. Starrett Company,nan
SOACU,SOACU,0
BBX,BBX,0
CMRE,Costamare Inc.,0.2273
