,Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Insider_id,Ticker
0,KNIGHTS OF COLUMBUS,10% Owner,2020-11-09,Sale,100.0,30000000.0,3000000000.0,0.0,Nov 20 11:39 AM,813913,JRO
1,KNIGHTS OF COLUMBUS,10% Owner,2020-10-28,Sale,100.0,15000000.0,1500000000.0,30000000.0,Nov 20 11:39 AM,813913,JRO
2,"Saba Capital Management, L.P.",10% Owner,2020-10-05,Buy,8.31,128002.0,1063697.0,4493406.0,Oct 06 10:38 AM,1510281,JRO
3,"Saba Capital Management, L.P.",10% Owner,2020-10-02,Buy,8.19,28905.0,236732.0,4365404.0,Oct 06 10:38 AM,1510281,JRO
4,"Saba Capital Management, L.P.",10% Owner,2020-09-30,Buy,8.22,62000.0,509640.0,4336499.0,Oct 02 09:52 AM,1510281,JRO
5,"Saba Capital Management, L.P.",10% Owner,2020-09-29,Buy,8.19,11008.0,90156.0,4274499.0,Sep 30 01:46 PM,1510281,JRO
6,Caraher Scott C.,Portfolio Manager,2020-03-31,Buy,7.37,5000.0,36842.0,36636.0,Aug 25 05:18 PM,1521119,JRO
0,Kanen David,10% Owner,2020-09-22,Sale,3.25,9024.0,29337.0,801989.0,Sep 22 05:27 PM,1681743,BBW
1,Kanen David,10% Owner,2020-09-21,Sale,3.27,56207.0,183521.0,811013.0,Sep 22 05:27 PM,1681743,BBW
2,Kanen David,10% Owner,2020-09-18,Sale,3.41,525000.0,1791248.0,10007.0,Sep 22 05:27 PM,1681743,BBW
0,"Saba Capital Management, L.P.",10% Owner,2020-10-05,Buy,12.47,1701.0,21211.0,1211180.0,Oct 06 10:42 AM,1510281,JSD
1,"Saba Capital Management, L.P.",10% Owner,2020-10-02,Buy,12.36,33926.0,419325.0,1209479.0,Oct 06 10:42 AM,1510281,JSD
2,"Saba Capital Management, L.P.",10% Owner,2020-09-30,Buy,12.35,25780.0,318383.0,1175553.0,Oct 02 09:57 AM,1510281,JSD
3,"Saba Capital Management, L.P.",10% Owner,2020-09-29,Buy,12.35,6060.0,74841.0,1149773.0,Sep 30 01:52 PM,1510281,JSD
