FLWS,1-800 FLOWERS COM,-18.2
SRCE,1ST SOURCE CORP,0.3205
AHC,A H BELO CORP,nan
AAON,AAON INC,0.1176
AIR,AAR CORP,0.8235
ABMD,ABIOMED INC,-0.0074
ABM,ABM INDUSTRIES INC,-0.08
AXAS,ABRAXAS PETE CORP,-0.2857
ACTG,ACACIA RESEARCH CORP,0.0909
ACHC,ACADIA HEALTHCARE CO,0.2593
ACAD,ACADIA PHARMACEUTICALS,1.0
AKR,ACADIA REALTY TRUST,-1.4545
AXDX,ACCELERATE DIAGNOSTICS,-0.0571
ACCO,ACCO BRANDS CORP,0.5833
ARAY,ACCURAY INC,0.05
ACRX,ACELRX PHARMACEUTICALS,0.25
ACET,ACETO CORP,1.7048
ACIW,ACI WORLDWIDE INC,0.0833
ACOR,ACORDA THERAPEUTICS INC,-0.3429
ACTV,ACTIVE NETWORK INC,0
AYI,ACUITY BRANDS INC,-0.1362
ADES,ADA ES INC,-1.2245
AE,ADAMS RESOURCES & ENERG,nan
ADUS,ADDUS HOMECARE CORP,0.0411
ADTN,ADTRAN INC,-0.3125
AEIS,ADVANCED ENERGY INDS IN,0.4068
AEGN,AEGION CORP,0.28
AVAV,AEROVIRONMENT INC,0.0909
MITT,AG MORTGAGE INVT TR INC,-6.5
AGYS,AGILYSYS INC,-0.2069
ADC,AGREE REALTY CORP,-0.1702
ATSG,AIR TRANSPORT SERVICES,-0.0638
ALG,ALAMO GROUP INC,0.5263
AIN,ALBANY INTERNATIONAL,-0.1193
ALEX,ALEXANDER & BALDWIN INC,-1.5714
ALX,ALEXANDERS INC,1.7079
ALCO,ALICO INC,nan
ALGN,ALIGN TECHNOLOGY INC,0.16
ALIM,ALIMERA SCIENCES INC,-0.7647
ALGT,ALLEGIANT TRAVEL CO,-0.7383
ALE,ALLETE INC,1.0
AIQ,ALLIANCE HEALTHCARE SVC,0
ALNY,ALNYLAM PHARMACEUTICALS,0.3974
AOSL,ALPHA & OMEGA SEMICON,0.8966
ATEC,ALPHATEC HOLDINGS,-0.04
AIMC,ALTRA HOLDINGS INC,0.45
AMBA,AMBARELLA INC,0.5
AMED,AMEDISYS INC,0.6716
APEI,AMER PUBLIC EDUCATION,-0.6
AMRC,AMERESCO INC,1.0
AAT,AMERICAN ASSETS TRST IN,-0.3846
AXL,AMERICAN AXLE & MFG,-1.6425
AEL,AMERICAN EQUITY INVST,-3.6931
AM,AMERICAN GREETINGS,0.2222
