,Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Insider_id,Ticker
0,POPAT DINESH,"President, BloomNet, Inc.",2021-02-05,Sale,30.98,507.0,15707.0,15023.0,Feb 05 05:13 PM,1770892,FLWS
1,HARTNETT THOMAS G,Group President-Floral&Gifts,2021-02-03,Sale,30.26,20759.0,628260.0,163769.0,Feb 04 03:39 PM,1240817,FLWS
2,HARTNETT THOMAS G,Group President-Floral&Gifts,2021-02-02,Sale,30.26,28290.0,856011.0,184528.0,Feb 04 03:39 PM,1240817,FLWS
3,SHEA WILLIAM E,Chief Financial Officer & SVP,2021-02-02,Sale,30.38,50045.0,1520171.0,273683.0,Feb 04 12:00 PM,1240819,FLWS
4,MCCANN CHRISTOPHER G,CEO and President,2021-01-29,Option Exercise,2.63,17850.0,46946.0,436181.0,Feb 01 03:27 PM,1105954,FLWS
5,MCCANN CHRISTOPHER G,CEO and President,2021-01-29,Sale,31.08,17850.0,554764.0,418331.0,Feb 01 03:27 PM,1105954,FLWS
6,MCCANN CHRISTOPHER G,CEO and President,2021-01-28,Option Exercise,2.63,17850.0,46946.0,436181.0,Feb 01 03:27 PM,1105954,FLWS
7,MCCANN CHRISTOPHER G,CEO and President,2021-01-28,Sale,33.84,17850.0,604093.0,418331.0,Feb 01 03:27 PM,1105954,FLWS
8,MCCANN CHRISTOPHER G,CEO and President,2021-01-15,Option Exercise,2.63,17850.0,46946.0,436181.0,Jan 19 10:10 AM,1105954,FLWS
9,MCCANN CHRISTOPHER G,CEO and President,2021-01-15,Sale,29.53,17850.0,527111.0,418331.0,Jan 19 10:10 AM,1105954,FLWS
10,MCCANN CHRISTOPHER G,CEO and President,2021-01-14,Option Exercise,2.63,17850.0,46946.0,436181.0,Jan 19 10:10 AM,1105954,FLWS
11,MCCANN CHRISTOPHER G,CEO and President,2021-01-14,Sale,29.15,17850.0,520328.0,418331.0,Jan 19 10:10 AM,1105954,FLWS
12,MCCANN CHRISTOPHER G,CEO and President,2021-01-04,Option Exercise,2.63,17850.0,46946.0,436181.0,Jan 05 10:31 AM,1105954,FLWS
13,MCCANN CHRISTOPHER G,CEO and President,2021-01-04,Sale,26.28,17850.0,469098.0,418331.0,Jan 05 10:31 AM,1105954,FLWS
14,MCCANN CHRISTOPHER G,CEO and President,2020-12-31,Option Exercise,2.63,17850.0,46946.0,436181.0,Jan 05 10:31 AM,1105954,FLWS
15,MCCANN CHRISTOPHER G,CEO and President,2020-12-31,Sale,25.99,17850.0,463922.0,418331.0,Jan 05 10:31 AM,1105954,FLWS
16,MCCANN CHRISTOPHER G,CEO and President,2020-12-18,Option Exercise,2.63,17850.0,46946.0,436181.0,Dec 21 03:45 PM,1105954,FLWS
17,MCCANN CHRISTOPHER G,CEO and President,2020-12-18,Sale,25.7,17850.0,458745.0,418331.0,Dec 21 03:45 PM,1105954,FLWS
18,MCCANN CHRISTOPHER G,CEO and President,2020-12-17,Option Exercise,2.63,17850.0,46946.0,436181.0,Dec 21 03:45 PM,1105954,FLWS
19,MCCANN CHRISTOPHER G,CEO and President,2020-12-17,Sale,25.05,17850.0,447143.0,418331.0,Dec 21 03:45 PM,1105954,FLWS
20,MCCANN CHRISTOPHER G,CEO and President,2020-12-04,Option Exercise,2.63,17850.0,46946.0,946181.0,Dec 07 02:51 PM,1105954,FLWS
21,MCCANN CHRISTOPHER G,CEO and President,2020-12-04,Sale,22.8,17850.0,406980.0,928331.0,Dec 07 02:51 PM,1105954,FLWS
22,MCCANN CHRISTOPHER G,CEO and President,2020-12-03,Option Exercise,2.63,17850.0,46946.0,946181.0,Dec 07 02:51 PM,1105954,FLWS
23,MCCANN CHRISTOPHER G,CEO and President,2020-12-03,Sale,23.06,17850.0,411621.0,928331.0,Dec 07 02:51 PM,1105954,FLWS
24,MCCANN CHRISTOPHER G,CEO and President,2020-11-20,Option Exercise,2.63,17850.0,46946.0,946181.0,Nov 23 11:19 AM,1105954,FLWS
25,MCCANN CHRISTOPHER G,CEO and President,2020-11-20,Sale,23.24,17850.0,414834.0,928331.0,Nov 23 11:19 AM,1105954,FLWS
26,MCCANN CHRISTOPHER G,CEO and President,2020-11-19,Option Exercise,2.63,17850.0,46946.0,946181.0,Nov 23 11:19 AM,1105954,FLWS
27,MCCANN CHRISTOPHER G,CEO and President,2020-11-19,Sale,23.02,17850.0,410907.0,928331.0,Nov 23 11:19 AM,1105954,FLWS
28,MCCANN CHRISTOPHER G,CEO and President,2020-11-06,Option Exercise,2.63,17850.0,46946.0,1053707.0,Nov 09 05:48 PM,1105954,FLWS
29,MCCANN CHRISTOPHER G,CEO and President,2020-11-06,Sale,21.04,17850.0,375564.0,1035857.0,Nov 09 05:48 PM,1105954,FLWS
30,MCCANN CHRISTOPHER G,CEO and President,2020-11-05,Option Exercise,2.63,17850.0,46946.0,1066197.0,Nov 09 05:48 PM,1105954,FLWS
31,MCCANN CHRISTOPHER G,CEO and President,2020-11-05,Sale,21.03,17850.0,375386.0,1048347.0,Nov 09 05:48 PM,1105954,FLWS
32,MCCANN CHRISTOPHER G,CEO and President,2020-10-27,Option Exercise,2.63,17850.0,46946.0,1119099.0,Oct 28 11:49 AM,1105954,FLWS
33,MCCANN CHRISTOPHER G,CEO and President,2020-10-27,Sale,25.79,17850.0,460352.0,1101249.0,Oct 28 11:49 AM,1105954,FLWS
34,MCCANN CHRISTOPHER G,CEO and President,2020-10-26,Option Exercise,2.63,17850.0,46946.0,1119099.0,Oct 28 11:49 AM,1105954,FLWS
