MMM,3M Company,-0.0206
ABT,Abbott Laboratories,0.4796
ABBV,AbbVie Inc.,0.0318
ABMD,ABIOMED Inc,-0.0074
ACN,Accenture plc,0.0905
ATVI,Activision Blizzard,0.7042
ADBE,Adobe Inc.,0.0934
AMD,Advanced Micro Devices Inc,0.2683
AAP,Advance Auto Parts,-0.0377
AES,AES Corp,0.68
AFL,AFLAC Inc,-0.2302
A,Agilent Technologies Inc,0.2564
APD,Air Products & Chemicals Inc,-0.0091
AKAM,Akamai Technologies Inc,-0.0507
ALK,Alaska Air Group Inc,-0.2105
ALB,Albemarle Corp,0.2674
ARE,Alexandria Real Estate Equities,5.0317
ALXN,Alexion Pharmaceuticals,-0.0864
ALGN,Align Technology,0.16
ALLE,Allegion,0.8152
LNT,Alliant Energy Corp,0.7407
ALL,Allstate Corp,0.9966
GOOGL,Alphabet Inc. (Class A),0.3598
GOOG,Alphabet Inc. (Class C),0.3598
MO,Altria Group Inc,-0.1681
AMZN,Amazon.com Inc.,0.139
AMCR,Amcor plc,0.0625
AEE,Ameren Corp,0.5
AAL,American Airlines Group,-0.3032
AEP,American Electric Power,0.3611
AXP,American Express Co,0.3538
AIG,American International Group,0.2273
AMT,American Tower Corp.,0.04
AWK,American Water Works Company Inc,0.5052
AMP,Ameriprise Financial,2.0816
ABC,AmerisourceBergen Corp,0.1534
AME,AMETEK Inc.,0.0693
AMGN,Amgen Inc.,-0.1281
APH,Amphenol Corp,0.0367
ADI,Analog Devices, Inc.,0.0588
ANSS,ANSYS, Inc.,-0.1226
ANTM,Anthem,-0.3952
AON,Aon plc,-0.2194
AOS,A.O. Smith Corp,0.1212
APA,Apache Corporation,-0.7838
AAPL,Apple Inc.,1.3014
AMAT,Applied Materials Inc.,0.1792
APTV,Aptiv PLC,0.0
ADM,Archer-Daniels-Midland Co,0.3596
ANET,Arista Networks,0.1469
AJG,Arthur J. Gallagher & Co.,-0.1852
AIZ,Assurant,-0.4873
T,AT&T Inc.,-0.0132
ATO,Atmos Energy,2.2264
ADSK,Autodesk Inc.,0.0612
ADP,Automatic Data Processing,0.078
AZO,AutoZone Inc,-0.3983
AVB,AvalonBay Communities,-0.1322
AVY,Avery Dennison Corp,0.1885
BKR,Baker Hughes Co,-2.75
BLL,Ball Corp,-0.0899
BAC,Bank of America Corp,0.1569
BK,The Bank of New York Mellon,-0.0204
BAX,Baxter International Inc.,-0.0361
BDX,Becton Dickinson,0.6308
