,Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Insider_id,Ticker
0,Vale Michael G.,Executive Vice President,2021-01-29,Option Exercise,87.89,30875.0,2713604.0,79155.0,Feb 01 01:30 PM,1527527,MMM
1,Vale Michael G.,Executive Vice President,2021-01-29,Sale,175.53,30875.0,5419520.0,48280.0,Feb 01 01:30 PM,1527527,MMM
2,Ashish Khandpur K,Executive Vice President,2020-12-17,Option Exercise,87.89,5760.0,506246.0,21719.0,Dec 18 10:24 AM,1614139,MMM
3,Ashish Khandpur K,Executive Vice President,2020-12-17,Sale,176.44,5760.0,1016296.0,15959.0,Dec 18 10:24 AM,1614139,MMM
4,Hammes Eric D.,Executive Vice President,2020-12-17,Sale,176.67,5076.0,896753.0,4778.0,Dec 18 10:20 AM,1610493,MMM
5,Lavers Jeffrey R,Executive Vice President,2020-12-08,Option Exercise,87.89,6219.0,546588.0,10643.0,Dec 09 10:06 AM,1820595,MMM
6,Lavers Jeffrey R,Executive Vice President,2020-12-08,Sale,172.09,6219.0,1070229.0,4424.0,Dec 09 10:06 AM,1820595,MMM
7,Fong Ivan K,"SVP, Gen Counsel & Secretary",2020-11-16,Option Exercise,89.25,15073.0,1345265.0,47886.0,Nov 17 02:01 PM,1342238,MMM
8,Fong Ivan K,"SVP, Gen Counsel & Secretary",2020-11-16,Sale,172.62,15073.0,2601901.0,32813.0,Nov 17 02:01 PM,1342238,MMM
9,Banovetz John Patrick,Senior Vice President,2020-08-19,Option Exercise,89.47,2228.0,199339.0,10506.0,Aug 20 01:07 PM,1711228,MMM
10,Banovetz John Patrick,Senior Vice President,2020-08-19,Sale,164.81,2228.0,367187.0,8278.0,Aug 20 01:07 PM,1711228,MMM
11,Shafer Stephen M,Senior Vice President,2020-06-01,Option Exercise,155.58,1298.0,201943.0,3438.0,Jun 03 01:27 PM,1771264,MMM
12,Vale Michael G.,Executive Vice President,2020-05-08,Option Exercise,89.47,7812.0,698940.0,54712.0,May 11 10:54 AM,1527527,MMM
13,Vale Michael G.,Executive Vice President,2020-05-08,Sale,148.34,14062.0,2085988.0,46900.0,May 11 10:54 AM,1527527,MMM
14,Hammes Eric D.,Executive Vice President,2020-05-06,Option Exercise,89.47,1026.0,91796.0,10827.0,May 07 10:52 AM,1610493,MMM
15,Hammes Eric D.,Executive Vice President,2020-05-06,Sale,146.36,1026.0,150165.0,9801.0,May 07 10:52 AM,1610493,MMM
16,Keel Paul A,Executive Vice President,2020-05-05,Option Exercise,89.47,8249.0,738038.0,25080.0,May 06 10:04 AM,1626337,MMM
17,Keel Paul A,Executive Vice President,2020-05-05,Sale,147.17,10249.0,1508297.0,16831.0,May 06 10:04 AM,1626337,MMM
18,Ashish Khandpur K,Executive Vice President,2020-05-04,Option Exercise,89.47,3605.0,322539.0,19193.0,May 05 11:29 AM,1614139,MMM
19,Silberhorn Ty R,Senior Vice President,2020-05-04,Option Exercise,101.49,14623.0,1484088.0,16571.0,May 05 11:35 AM,1772760,MMM
20,Silberhorn Ty R,Senior Vice President,2020-05-04,Sale,146.46,14623.0,2141685.0,1948.0,May 05 11:35 AM,1772760,MMM
21,Ashish Khandpur K,Executive Vice President,2020-05-04,Sale,146.85,3605.0,529399.0,15588.0,May 05 11:29 AM,1614139,MMM
22,Roman Michael F,"Chairman, President & CEO",2020-05-01,Option Exercise,89.47,10067.0,900694.0,57868.0,May 04 04:36 PM,1577544,MMM
23,Roman Michael F,"Chairman, President & CEO",2020-05-01,Sale,148.7,7894.0,1173827.0,49974.0,May 04 04:36 PM,1577544,MMM
24,Silberhorn Ty R,Senior Vice President,2021-02-21,Option Exercise,101.49,1967.0,199631.0,3849.0,Feb 24 10:33 AM,1772760,MMM
25,Silberhorn Ty R,Senior Vice President,2021-02-21,Sale,158.19,1967.0,311160.0,1882.0,Feb 24 10:33 AM,1772760,MMM
26,Vale Michael G.,Executive Vice President,2021-02-18,Sale,159.17,6250.0,994803.0,52604.0,Feb 19 01:11 PM,1527527,MMM
0,Funck Robert E,EXECUTIVE VICE PRESIDENT,2021-02-02,Option Exercise,39.12,31325.0,1225434.0,193542.0,Feb 04 06:56 PM,1565892,ABT
1,MANNING JOSEPH J,SENIOR VICE PRESIDENT,2021-02-02,Sale,123.03,3130.0,385084.0,59681.0,Feb 03 07:20 PM,1695686,ABT
2,ALLEN HUBERT L,EXECUTIVE VICE PRESIDENT,2021-02-01,Option Exercise,38.78,203393.0,7887902.0,355289.0,Feb 03 07:10 PM,1565916,ABT
3,Scoggins Christopher J,SENIOR VICE PRESIDENT,2021-02-01,Option Exercise,44.83,45000.0,2017200.0,84706.0,Feb 03 07:14 PM,1772286,ABT
4,MANNING JOSEPH J,SENIOR VICE PRESIDENT,2021-02-01,Option Exercise,38.4,18750.0,720000.0,81561.0,Feb 03 07:20 PM,1695686,ABT
5,MANNING JOSEPH J,SENIOR VICE PRESIDENT,2021-02-01,Sale,122.79,18750.0,2302264.0,62811.0,Feb 03 07:20 PM,1695686,ABT
6,Scoggins Christopher J,SENIOR VICE PRESIDENT,2021-02-01,Sale,123.24,45000.0,5545800.0,39706.0,Feb 03 07:14 PM,1772286,ABT
7,ALLEN HUBERT L,EXECUTIVE VICE PRESIDENT,2021-02-01,Sale,123.47,203393.0,25113252.0,151896.0,Feb 03 07:10 PM,1565916,ABT
8,NOVAKOVIC PHEBE N,Director,2020-12-04,Option Exercise,34.97,14681.0,513431.0,45794.0,Dec 08 05:58 PM,1222195,ABT
9,NOVAKOVIC PHEBE N,Director,2020-12-04,Sale,107.28,4790.0,513849.0,41004.0,Dec 08 05:58 PM,1222195,ABT
